age,income,credit_score,years_employed,debt_to_income,num_credit_cards,education,marital_status,credit_limit,loan_default
60,131408.0,702,0.6,0.071,2,0,1,25929,0
50,35723.0,676,1.0,0.04,6,1,1,12437,0
35,45768.0,608,19.8,0.589,5,3,2,14768,0
50,20000.0,597,8.0,0.503,5,1,0,4467,0
68,30463.0,516,14.8,0.391,3,0,1,10241,0
44,59138.0,769,18.3,0.274,2,0,0,17557,0
68,20000.0,705,4.8,0.569,1,3,2,5765,0
18,42645.0,760,0.4,0.207,2,1,0,12060,0
57,39365.0,613,1.7,0.492,3,2,1,7954,0
46,37535.0,571,0.6,0.363,2,2,0,8253,0
41,83260.0,521,1.7,0.343,7,2,2,14453,0
46,47456.0,693,4.2,0.252,2,1,0,14021,0
18,118475.0,525,1.0,0.387,3,1,0,16925,0
42,20000.0,850,1.5,0.078,2,2,1,11286,0
50,40487.0,493,4.7,0.372,2,2,2,8498,0
67,38854.0,683,3.3,0.373,2,0,2,11670,0
37,20000.0,838,5.0,0.467,3,1,0,6241,0
33,78045.0,722,4.5,0.351,2,1,0,17181,0
37,233220.0,671,8.3,0.274,5,1,2,41854,0
59,35825.0,534,22.1,0.334,2,2,0,16065,0
50,54394.0,484,0.9,0.22,3,1,1,10992,0
37,38856.0,742,0.8,0.156,5,2,1,11617,0
53,20520.0,831,15.3,0.214,2,1,1,12981,0
46,20000.0,597,5.6,0.124,5,2,1,8974,0
60,20648.0,513,11.6,0.254,4,1,1,9025,0
34,20000.0,355,1.9,0.333,7,1,1,2219,0
40,141957.0,532,14.1,0.07,3,2,1,32148,0
39,33121.0,636,20.6,0.263,4,1,1,15606,0
23,27536.0,842,8.1,0.14,2,2,1,14407,0
49,73963.0,731,0.9,0.345,4,2,1,16968,0
49,20000.0,687,18.1,0.26,1,0,1,13555,0
45,20000.0,602,12.6,0.269,4,0,1,10310,0
41,38348.0,580,11.1,0.048,2,0,2,16006,0
24,82703.0,819,0.3,0.168,2,2,0,19256,0
39,54249.0,674,12.8,0.238,1,1,1,16878,0
40,44296.0,398,1.2,0.318,5,2,2,6874,0
33,38657.0,569,2.0,0.218,3,2,0,9868,0
43,50021.0,547,6.9,0.264,3,0,1,10969,0
51,42673.0,584,2.5,0.039,2,2,0,13936,0
73,20000.0,718,8.7,0.212,2,3,0,12567,0
48,37679.0,637,7.5,0.479,1,0,1,7580,0
49,20000.0,641,0.9,0.289,3,1,1,6420,0
44,38749.0,808,8.5,0.152,2,2,0,15802,0
18,24723.0,566,20.6,0.264,1,3,0,16324,0
45,276926.0,850,1.4,0.186,0,3,0,51852,0
46,35175.0,569,7.3,0.298,1,0,0,9758,0
80,20000.0,661,3.3,0.343,2,2,1,6901,0
42,32619.0,616,4.9,0.297,3,2,0,10173,0
50,55022.0,665,2.7,0.282,1,2,2,11289,0
44,138509.0,703,3.5,0.172,3,2,0,27062,0
27,,702,0.2,0.135,4,1,1,10877,0
62,20000.0,560,31.9,0.286,7,2,1,16241,0
56,69806.0,515,7.8,0.099,6,2,2,17527,0
57,20000.0,850,5.6,0.203,3,2,1,11082,0
31,25619.0,592,3.9,0.362,4,1,1,6257,0
66,29552.0,734,6.2,0.536,2,1,1,8499,0
24,34348.0,457,3.8,0.392,5,2,0,6693,0
54,,616,3.6,0.388,4,0,0,12446,0
78,21017.0,635,5.0,0.049,4,0,1,11604,0
30,29174.0,707,2.6,0.281,5,2,1,8808,0
37,35903.0,323,1.6,0.313,6,2,0,5908,0
46,40932.0,670,6.5,0.149,2,2,1,14805,0
37,39272.0,512,14.8,0.213,3,3,1,15557,0
22,51473.0,689,1.3,0.29,1,1,2,13205,0
46,71330.0,526,0.3,0.13,3,1,1,17463,0
29,49717.0,547,2.3,0.408,0,1,1,9347,0
52,52202.0,617,31.2,0.341,3,1,0,19930,0
31,20000.0,524,,0.213,1,2,0,13029,0
68,,593,7.2,0.41,1,2,0,11443,0
33,53295.0,507,21.2,0.069,4,1,1,20904,0
40,65066.0,430,,0.143,6,1,1,14910,0
57,20871.0,772,32.7,0.287,4,2,1,19287,0
27,21435.0,494,2.8,0.419,4,0,1,3830,0
48,22942.0,629,2.2,0.258,2,2,0,7883,0
65,55778.0,740,8.1,0.313,1,0,0,15297,0
21,83042.0,576,3.8,0.072,6,2,0,19911,0
48,26214.0,551,7.9,0.313,2,1,2,9385,0
49,75085.0,677,2.9,0.403,1,0,1,15305,0
57,40086.0,784,7.7,0.453,0,1,0,12534,0
26,32878.0,510,2.6,0.133,6,1,0,8429,0
25,30665.0,632,0.4,0.16,1,2,0,11600,0
53,65992.0,442,19.5,0.217,3,1,2,21450,0
49,47120.0,603,17.2,0.425,2,3,0,14052,0
49,224282.0,654,28.3,0.03,1,2,1,53155,0
50,20000.0,547,10.1,0.074,2,0,0,11828,0
35,54967.0,595,9.2,0.13,3,0,1,15388,0
48,23781.0,481,6.5,0.225,3,1,2,8883,0
49,20000.0,659,1.1,0.208,2,1,0,8410,0
34,36001.0,777,1.7,0.154,4,2,0,11928,0
73,40533.0,518,2.7,0.083,0,0,0,12327,0
52,374947.0,575,17.7,0.292,1,2,0,68428,0
27,31341.0,710,1.5,0.213,2,2,1,12099,0
55,20000.0,795,20.5,0.218,3,2,0,16429,0
30,45180.0,471,5.9,0.43,2,2,1,9574,0
57,20000.0,630,10.1,0.206,3,2,1,11859,0
62,33740.0,684,0.9,0.224,4,2,0,9538,0
33,36784.0,638,2.5,0.26,1,3,1,11813,0
59,68575.0,353,25.5,0.278,5,2,1,22136,0
51,79134.0,710,,0.14,6,1,0,18820,0
57,24274.0,832,2.8,0.522,4,1,0,6277,0
73,32193.0,664,1.8,0.086,5,0,1,12614,0
41,20000.0,526,1.1,0.368,1,0,0,2595,0
34,20000.0,588,2.1,0.327,8,0,1,5088,0
32,46533.0,850,8.2,0.193,4,1,1,16611,0
33,20000.0,759,4.9,0.212,3,2,0,9592,0
44,26064.0,727,6.5,0.064,4,1,1,11861,0
50,20000.0,693,1.0,0.375,3,1,1,5741,0
49,56373.0,571,13.0,0.239,4,0,0,14532,0
57,153452.0,626,12.3,0.308,7,2,0,30961,0
45,20000.0,641,0.2,0.454,3,2,0,5528,0
67,20000.0,716,3.9,0.081,4,3,1,11713,0
41,32863.0,831,0.6,0.176,6,2,1,12659,0
80,36774.0,784,12.6,0.342,6,0,0,12342,0
54,43258.0,480,10.7,0.174,6,0,0,11922,0
32,25411.0,677,18.6,0.221,3,1,1,14240,0
29,30930.0,738,2.2,0.294,2,0,1,8748,0
52,48728.0,724,4.9,0.118,3,2,1,17132,0
42,83479.0,574,1.6,0.365,4,0,1,14439,0
56,20000.0,850,3.7,0.283,4,0,0,8225,0
52,27034.0,497,5.9,0.348,3,2,0,8406,0
44,43090.0,520,0.4,0.215,1,1,0,9586,0
32,20000.0,678,10.0,0.186,3,3,1,13638,0
22,145065.0,850,6.3,0.388,6,3,1,28166,0
38,21844.0,550,14.1,0.046,5,2,1,14095,0
58,35135.0,618,2.5,0.177,2,1,1,9715,0
48,56660.0,779,18.7,0.109,4,0,1,20434,0
26,22629.0,648,40.0,0.247,0,1,0,22438,0
48,20000.0,610,20.1,0.164,7,1,0,13650,0
51,25773.0,718,12.0,0.291,4,0,2,11258,0
32,82748.0,683,13.4,0.155,2,0,1,22119,0
47,27736.0,774,6.8,0.241,0,2,1,13652,0
46,20000.0,805,1.7,0.113,2,1,0,9144,0
28,76156.0,687,9.0,0.24,1,2,1,19470,0
50,27872.0,685,10.0,0.051,3,2,1,14332,0
53,24146.0,676,33.8,0.385,5,3,1,18936,0
61,40928.0,709,6.2,0.294,2,2,0,13421,0
61,67279.0,657,2.5,0.418,4,0,0,10840,0
24,244109.0,650,9.2,0.206,3,2,0,45408,0
31,70389.0,794,31.1,0.463,3,2,1,24394,0
53,91846.0,832,1.6,0.406,7,3,2,18920,0
53,24227.0,469,3.2,0.294,4,2,1,5595,0
53,20000.0,651,6.2,0.318,3,0,1,7875,0
80,38172.0,567,1.5,0.05,2,1,0,12322,0
54,39566.0,613,0.2,0.222,3,2,0,10236,0
62,20000.0,698,3.3,0.266,2,3,0,9675,0
59,31564.0,730,16.0,0.06,1,3,1,21093,0
55,49984.0,637,0.4,0.225,4,1,0,12330,0
40,48451.0,420,4.5,0.256,2,2,1,12304,0
56,54363.0,534,11.5,0.112,3,2,1,19140,0
33,45834.0,758,24.5,0.259,1,1,1,19836,0
41,24207.0,321,33.9,0.21,1,1,2,17067,0
38,24074.0,792,4.4,0.27,2,2,2,12638,0
46,20000.0,713,24.0,0.244,1,2,1,16917,0
80,151421.0,808,0.3,0.144,3,1,1,31366,0
18,36708.0,626,11.0,0.198,0,2,1,15047,0
55,30337.0,403,8.2,0.282,4,1,0,8662,0
21,20000.0,702,2.3,0.121,6,2,0,10575,0
38,380228.0,803,5.7,0.312,5,1,2,63941,0
61,20000.0,761,1.1,0.131,2,0,1,10164,0
46,25769.0,570,16.4,0.3,4,0,0,11147,0
29,50649.0,660,3.5,0.366,0,2,0,10891,0
34,58699.0,586,,0.106,1,2,0,18785,0
55,78147.0,552,1.4,0.233,2,1,0,14576,0
34,154213.0,765,1.8,0.305,5,1,2,27849,0
48,54444.0,506,38.6,0.304,2,1,1,24242,0
46,20000.0,543,11.2,0.223,3,2,0,10117,0
35,29568.0,518,26.2,0.063,5,1,0,18787,0
77,46456.0,471,2.8,0.333,2,0,2,9300,0
55,189962.0,668,1.4,0.268,1,2,2,33578,0
18,20000.0,789,5.6,0.256,1,0,0,10734,0
48,95041.0,628,5.5,0.265,3,2,1,21431,0
35,41937.0,469,1.5,0.399,3,1,2,6946,0
58,70988.0,751,10.6,0.25,5,2,1,18828,0
33,33470.0,850,3.6,0.267,1,3,1,15290,0
43,20000.0,572,1.6,0.14,2,0,1,8103,0
53,66217.0,593,3.2,0.314,3,2,0,14143,0
58,61301.0,712,6.6,0.072,0,0,0,16472,0
27,79035.0,845,10.4,0.306,5,3,1,19898,0
40,35931.0,588,5.3,0.158,2,1,2,13356,0
38,22475.0,490,6.0,0.295,5,2,1,7515,0
35,20000.0,726,1.2,0.074,2,0,0,11411,0
71,69947.0,746,19.7,0.016,5,1,1,25279,0
51,50976.0,651,21.1,0.33,4,2,1,19742,0
26,20000.0,583,9.2,0.166,3,2,0,10573,0
59,23603.0,769,0.1,0.374,2,2,0,7838,0
77,24999.0,713,6.2,0.292,2,1,1,9857,0
60,,558,,0.329,4,2,0,9220,0
22,20000.0,656,40.0,0.26,3,1,0,20051,0
38,20000.0,488,40.0,0.298,5,2,0,18834,0
64,26109.0,732,15.6,0.198,1,2,1,14108,0
34,20111.0,619,0.5,0.12,3,0,1,7092,0
52,20000.0,598,24.5,0.083,1,2,1,16969,0
57,183152.0,646,7.6,0.121,3,3,0,37146,0
31,98917.0,655,12.9,0.295,4,1,0,24548,0
44,20000.0,757,4.2,0.443,5,1,0,6278,0
18,45159.0,721,3.1,0.121,7,1,0,13726,0
30,50715.0,631,5.0,0.278,2,2,0,12441,0
41,94171.0,742,1.3,0.17,4,0,0,17158,0
26,20000.0,698,3.5,0.212,0,2,1,8569,0
69,87002.0,599,15.6,0.153,3,3,1,24530,0
24,23428.0,635,0.3,0.147,1,0,0,9673,0
38,20000.0,632,1.3,0.318,2,3,0,8324,0
47,64816.0,711,1.1,0.045,2,3,0,20292,0
67,101988.0,606,4.1,0.227,3,2,0,22301,0
23,287888.0,603,40.0,0.082,1,1,0,63312,0
62,20000.0,850,1.5,0.247,1,1,0,11539,0
45,63522.0,763,1.3,0.31,3,1,1,15062,0
30,26165.0,559,19.7,0.322,1,2,2,14550,0
52,67961.0,719,17.1,0.117,2,2,1,24184,0
48,20000.0,664,0.3,0.064,4,2,0,10658,0
36,20000.0,697,11.1,0.014,1,3,1,18219,0
46,20000.0,666,8.5,0.061,1,2,1,14566,0
39,38684.0,793,11.7,0.481,3,3,2,11153,0
47,21745.0,691,5.5,0.358,2,1,0,7877,0
55,61528.0,643,38.0,0.29,1,0,1,23826,0
69,82579.0,775,0.4,0.031,1,0,0,22276,0
26,58669.0,678,2.1,0.202,1,1,1,15675,0
77,132592.0,665,4.0,0.114,2,2,0,27399,0
18,50648.0,688,4.8,0.129,1,1,0,15780,0
43,20000.0,639,20.3,0.261,4,0,2,14018,0
54,108088.0,651,6.6,0.423,1,3,1,23445,0
49,22379.0,580,0.4,0.434,4,3,2,4247,0
36,75232.0,560,4.2,0.539,5,0,1,10557,1
42,127898.0,530,4.3,0.16,3,0,1,22730,0
38,52331.0,483,26.9,0.146,5,1,1,20294,0
36,20000.0,544,7.3,0.269,1,1,1,9264,0
58,20000.0,629,8.1,0.225,5,2,1,8093,0
50,104631.0,662,10.0,0.249,3,2,0,25342,0
35,31720.0,617,11.8,0.101,3,0,0,15007,0
58,38702.0,367,8.1,0.162,4,2,0,10906,0
50,66640.0,839,2.2,0.247,2,1,0,18062,0
57,,780,16.6,0.236,3,3,1,22152,0
54,45390.0,703,10.5,0.318,2,1,1,14594,1
33,30732.0,850,,0.319,4,3,0,13528,0
37,28279.0,533,40.0,0.085,3,0,1,21490,0
56,72137.0,850,13.0,0.111,1,0,0,23163,0
54,,534,14.1,0.152,3,1,1,15648,0
45,29559.0,679,24.2,0.231,4,3,1,18326,0
47,86309.0,497,1.3,0.082,0,2,1,18869,0
64,32754.0,652,5.5,0.089,3,2,0,13882,0
36,20000.0,696,7.0,0.216,2,1,1,11115,0
53,20000.0,631,3.2,0.146,3,0,1,8940,0
42,20000.0,736,14.6,0.446,1,1,2,10442,0
42,29204.0,662,11.5,0.064,1,2,1,16807,0
61,97439.0,587,10.2,0.516,4,3,1,18861,0
57,20000.0,582,40.0,0.106,3,1,1,22998,0
57,42226.0,747,2.4,0.312,5,0,0,10938,0
65,21475.0,572,10.6,0.515,2,2,1,7938,0
45,29488.0,760,6.4,0.127,3,0,0,13234,0
55,20000.0,797,3.0,0.286,2,2,1,10226,0
40,30442.0,450,1.4,0.137,1,0,1,9755,0
50,31102.0,786,18.1,0.254,3,2,1,16601,0
43,55951.0,850,7.2,0.307,1,2,0,19113,0
46,43418.0,680,13.9,0.295,2,2,1,16204,0
54,20000.0,722,6.3,0.042,3,0,0,10641,0
33,86453.0,774,2.0,0.109,3,1,1,19138,0
76,42969.0,617,3.3,0.052,2,0,0,13527,0
30,42562.0,672,3.8,0.189,4,2,0,16037,0
27,36050.0,492,28.9,0.52,1,0,0,12544,0
62,24000.0,667,0.0,0.463,2,3,0,5876,0
57,43228.0,710,34.0,0.191,4,3,0,25136,0
54,53129.0,712,31.5,0.097,1,0,0,26004,0
54,20000.0,778,40.0,0.523,3,2,0,20201,0
45,23600.0,557,5.2,0.502,4,2,2,5853,0
32,29615.0,586,26.6,0.152,4,1,0,18019,0
46,44575.0,850,4.0,0.096,3,0,1,16328,0
35,94339.0,632,0.2,0.187,2,0,0,19954,0
60,20000.0,674,2.0,0.067,3,2,1,12423,0
43,24383.0,642,23.2,0.156,1,1,1,17986,0
33,24100.0,551,0.1,0.038,0,2,1,11262,0
40,20000.0,845,6.3,0.113,4,3,1,13773,0
51,27509.0,587,0.6,0.155,2,2,2,12893,0
37,67282.0,515,2.7,0.391,1,3,0,11989,0
33,20000.0,596,0.7,0.224,0,2,1,9134,0
49,51136.0,410,15.7,0.164,1,1,1,18711,0
49,20000.0,572,7.2,0.144,3,3,2,11798,0
37,23177.0,534,18.6,0.499,4,1,0,9615,0
38,27901.0,724,9.3,0.106,2,3,0,16434,0
48,138675.0,569,28.3,0.024,2,1,1,38115,0
23,29148.0,757,5.7,0.364,1,3,2,10001,0
24,20000.0,818,8.1,0.176,6,0,0,12263,0
34,20000.0,744,6.9,0.141,1,0,0,10045,0
42,37318.0,624,5.3,0.127,2,0,0,13504,0
50,59339.0,667,15.0,0.231,3,0,0,17982,0
67,,467,8.3,0.344,6,2,0,10442,0
58,41525.0,634,12.9,0.339,2,1,1,13675,0
43,92024.0,547,12.3,0.278,3,2,0,21301,0
45,23584.0,733,1.7,0.388,1,2,1,7739,0
30,74305.0,850,8.4,0.103,1,2,0,21588,0
45,20000.0,710,1.8,0.019,1,2,1,13632,0
41,20000.0,411,7.0,0.42,4,0,1,3975,0
50,20000.0,607,9.1,0.162,9,0,1,9700,0
33,29147.0,665,40.0,0.38,5,0,1,19583,0
53,34996.0,660,0.2,0.059,3,0,2,12492,0
68,39786.0,562,0.8,0.23,2,1,1,10925,0
43,38159.0,679,0.6,0.12,4,3,2,13999,0
51,20000.0,501,4.1,0.215,4,1,0,7268,0
55,31189.0,537,13.8,0.287,1,1,1,11973,0
39,20000.0,727,14.9,0.317,4,2,0,11605,0
48,,528,10.7,0.181,2,3,0,25678,0
45,28484.0,715,18.2,0.094,5,3,1,17785,0
46,24560.0,486,3.1,0.177,4,2,2,9189,0
33,,850,0.7,0.446,3,2,0,24199,0
45,20000.0,557,0.5,0.226,1,1,1,7094,0
52,20000.0,623,15.3,0.044,1,2,1,15723,0
67,20000.0,690,10.5,0.152,5,0,0,11739,0
59,34396.0,582,9.6,0.248,1,0,0,12403,0
77,51293.0,667,3.3,0.419,5,3,1,9944,0
33,65627.0,719,3.8,0.485,3,1,0,11877,0
58,284246.0,765,25.4,0.314,3,2,1,55847,0
48,20000.0,745,0.5,0.135,5,2,0,8518,0
78,59100.0,629,11.9,0.125,4,1,0,18790,0
33,23255.0,632,3.0,0.207,3,1,1,9898,0
32,,850,0.3,0.217,2,3,2,11619,0
36,22119.0,764,10.9,0.138,2,2,0,14108,0
18,20000.0,539,3.2,0.053,2,1,1,10590,0
37,139751.0,662,10.2,0.28,5,1,1,29606,0
34,71242.0,610,9.8,0.132,3,2,1,20865,0
47,36996.0,634,,0.296,0,2,0,11641,0
50,107024.0,502,12.0,0.27,1,2,2,23518,0
73,20000.0,601,7.0,0.405,2,2,0,6586,0
59,20000.0,850,2.7,0.499,4,2,2,6094,0
36,20000.0,719,10.6,0.068,1,3,1,16302,0
32,20753.0,351,7.1,0.094,0,2,2,10674,0
52,41331.0,796,0.1,0.463,4,1,1,7849,0
25,39430.0,781,18.6,0.349,4,3,2,17507,0
72,40924.0,607,6.3,0.089,2,1,1,14002,0
63,20000.0,736,16.2,0.475,2,3,2,14234,0
38,69046.0,547,17.1,0.06,1,2,1,22597,0
19,43989.0,594,4.7,0.076,2,0,2,13849,0
65,65280.0,830,5.7,0.18,6,2,0,20394,0
43,20000.0,617,4.3,0.355,1,2,1,6193,0
64,46592.0,426,4.8,0.154,2,3,1,13943,0
21,20000.0,642,18.0,0.27,3,1,1,13139,0
36,26427.0,641,12.4,0.034,2,0,1,14508,0
45,55686.0,794,1.1,0.558,4,1,0,8885,0
46,39061.0,652,7.5,0.14,6,1,1,11890,0
38,20000.0,599,40.0,0.275,7,2,0,20618,0
54,36498.0,775,7.2,0.233,2,0,1,12872,0
29,,664,12.3,0.228,3,2,1,13244,0
43,91146.0,560,11.7,0.086,9,1,1,21118,0
47,30815.0,789,3.5,0.037,3,2,1,13327,0
53,88862.0,673,3.7,0.129,4,1,1,21612,0
56,23832.0,650,10.3,0.293,2,1,0,10816,0
28,23888.0,671,5.5,0.143,5,1,1,10569,0
22,20000.0,522,6.8,0.34,4,2,1,6996,0
64,73199.0,587,10.0,0.33,1,2,0,19706,0
50,20588.0,650,12.0,0.048,4,2,1,14644,0
34,60820.0,627,2.5,0.173,4,1,2,15069,0
68,26743.0,803,1.3,0.267,3,2,1,10293,0
47,20000.0,676,2.8,0.112,1,1,1,11619,0
63,23011.0,753,5.7,0.402,5,0,1,8159,0
46,20000.0,651,3.4,0.179,4,1,1,8349,0
76,37314.0,777,6.7,0.059,3,1,0,15211,0
71,20000.0,698,,0.405,6,1,2,3091,0
41,76174.0,652,5.7,0.251,2,2,1,18401,0
60,33764.0,648,3.7,0.225,4,3,1,11997,0
55,31506.0,535,6.1,0.193,5,1,1,10075,0
66,61372.0,711,4.4,0.08,1,0,1,16165,0
31,78521.0,645,2.7,0.132,0,0,0,17935,0
55,35736.0,590,18.8,0.025,6,0,2,16688,0
61,20000.0,783,1.6,0.255,4,3,1,8022,0
19,20000.0,500,9.1,0.165,4,3,1,12410,0
27,20977.0,599,20.7,0.092,4,0,1,14913,0
18,22164.0,773,6.2,0.063,1,1,1,13822,0
41,39563.0,688,16.7,0.1,2,2,1,20435,0
56,27553.0,644,1.1,0.126,5,0,1,9312,0
68,62966.0,680,5.4,0.133,5,2,1,17305,0
46,22239.0,672,4.9,0.423,3,2,1,7769,0
69,34696.0,468,0.1,0.139,6,3,0,9674,0
24,93638.0,608,4.7,0.141,3,2,0,21507,0
19,47737.0,844,3.7,0.356,4,0,1,11663,0
44,34612.0,571,8.9,0.097,0,1,2,16362,0
51,22437.0,612,22.3,0.56,1,3,2,10492,0
45,21882.0,585,0.7,0.13,2,0,1,8652,1
18,20000.0,640,3.2,0.262,2,1,0,7257,0
44,23557.0,580,4.7,0.423,7,1,1,4769,0
25,66472.0,708,4.9,0.24,3,1,1,15772,0
55,30409.0,674,11.9,0.034,3,1,1,16846,0
50,20000.0,743,4.7,0.162,2,0,0,9288,0
31,149423.0,524,0.2,0.279,6,3,0,24046,0
37,46909.0,609,9.9,0.039,2,0,0,15591,0
29,20000.0,623,17.3,0.039,5,2,1,15932,0
44,25502.0,705,5.8,0.42,2,3,1,8616,0
59,39684.0,555,7.0,0.225,4,3,0,14679,0
30,142013.0,760,1.4,0.062,5,2,1,29434,0
53,20000.0,792,2.0,0.13,2,1,0,11626,0
37,79287.0,531,2.1,0.2,3,1,1,16622,0
33,111256.0,591,4.5,0.254,1,2,0,22731,0
43,21962.0,586,21.1,0.094,3,3,0,17604,0
29,29085.0,850,5.9,0.279,3,0,1,8694,0
37,20000.0,598,1.7,0.267,2,2,0,8183,0
27,30860.0,850,2.5,0.191,3,0,1,12451,0
74,35268.0,498,3.9,0.17,0,1,0,11021,0
46,61557.0,531,7.8,0.158,2,2,0,17251,0
35,86868.0,568,4.6,0.243,6,1,0,16992,0
48,20000.0,549,4.0,0.137,1,2,0,8615,0
43,20000.0,618,6.7,0.196,3,1,0,11252,0
42,35704.0,565,2.2,0.154,4,1,1,10526,0
54,45928.0,552,0.7,0.172,3,2,1,12185,0
56,44335.0,789,0.2,0.274,1,0,1,11426,0
37,27964.0,797,2.3,0.321,3,2,0,9382,0
36,40127.0,764,0.8,0.204,0,2,1,14717,0
41,122071.0,713,3.3,0.56,4,3,2,20311,0
18,49286.0,661,11.9,0.196,2,0,0,16203,0
22,26938.0,590,10.1,0.153,2,2,0,14082,0
66,24339.0,536,7.6,0.042,2,1,1,12491,0
70,31701.0,694,15.3,0.155,2,1,1,15925,0
41,134510.0,509,2.7,0.249,5,1,1,26763,0
54,31362.0,531,17.3,0.456,3,1,1,11330,0
50,35745.0,788,4.1,0.217,3,1,0,13056,0
80,24690.0,850,4.1,0.155,2,0,0,10315,0
62,87482.0,697,4.2,0.196,2,2,1,19865,0
43,174184.0,783,0.8,0.5,0,3,1,31522,0
31,52078.0,620,29.7,0.332,3,0,1,20516,0
21,38802.0,489,1.2,0.335,4,2,2,8857,0
48,37400.0,723,3.3,0.176,4,0,1,12604,0
34,20000.0,718,,0.39,3,2,1,5365,0
24,65915.0,659,0.6,0.075,3,2,1,19030,0
35,40430.0,621,1.3,0.406,1,1,0,8486,0
29,51158.0,765,0.4,0.141,4,2,1,13568,0
70,20554.0,532,2.8,0.204,3,2,2,7938,0
58,26700.0,557,16.1,0.138,3,2,1,14332,0
45,26139.0,529,3.3,0.296,4,1,0,6848,0
67,82232.0,660,1.1,0.273,3,2,0,16112,0
46,26822.0,519,8.3,0.302,3,0,0,6477,0
32,192169.0,568,40.0,0.066,4,1,1,48286,0
68,51261.0,565,2.1,0.104,1,2,0,14296,0
53,20000.0,619,,0.226,1,2,0,8157,0
29,32767.0,472,28.6,0.212,5,0,1,16076,0
42,21561.0,660,1.6,0.263,0,0,1,7084,0
32,20000.0,800,5.7,0.07,6,0,1,12491,0
24,130559.0,666,2.2,0.066,2,1,1,26386,0
